Query,Assessment_url
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/products/product-catalog/view/javascript-new/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/products/product-catalog/view/java-frameworks-new/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/products/product-catalog/view/java-web-services-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script.",https://www.shl.com/products/product-catalog/view/python-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script.",https://www.shl.com/products/product-catalog/view/java-frameworks-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script.",https://www.shl.com/products/product-catalog/view/java-web-services-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script.",https://www.shl.com/products/product-catalog/view/javascript-new/
"Looking to hire mid-level professionals who are proficient in Python, SQL and Java Script.",https://www.shl.com/products/product-catalog/view/sql-new/
I am hiring for an analyst and wants applications to screen using Cognitive and personality tests,https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/
I am hiring for an analyst and wants applications to screen using Cognitive and personality tests,https://www.shl.com/products/product-catalog/view/ai-skills/
I am hiring for an analyst and wants applications to screen using Cognitive and personality tests,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/
I am hiring for an analyst and wants applications to screen using Cognitive and personality tests,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/
I am hiring for an analyst and wants applications to screen using Cognitive and personality tests,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/
Graduate sales trainee with strong negotiation skills,https://www.shl.com/products/product-catalog/view/graduate-scenarios/
Graduate sales trainee with strong negotiation skills,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/
Graduate sales trainee with strong negotiation skills,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/
Graduate sales trainee with strong negotiation skills,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/
Graduate sales trainee with strong negotiation skills,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/
Customer service representative for a call center environment,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/
Customer service representative for a call center environment,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/
Customer service representative for a call center environment,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/
Customer service representative for a call center environment,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/
Customer service representative for a call center environment,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/
Project Manager with Agile and Scrum certification,https://www.shl.com/products/product-catalog/view/agile-software-development/
Project Manager with Agile and Scrum certification,https://www.shl.com/products/product-catalog/view/project-management-2013/
Project Manager with Agile and Scrum certification,https://www.shl.com/products/product-catalog/view/agile-testing-new/
Project Manager with Agile and Scrum certification,https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/
Project Manager with Agile and Scrum certification,https://www.shl.com/products/product-catalog/view/operations-management-new/
Mechanical Engineer proficient in CAD,https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/
Mechanical Engineer proficient in CAD,https://www.shl.com/products/product-catalog/view/civil-engineering-new/
Mechanical Engineer proficient in CAD,https://www.shl.com/products/product-catalog/view/electrical-engineering-new/
Mechanical Engineer proficient in CAD,https://www.shl.com/products/product-catalog/view/automotive-engineering-new/
Mechanical Engineer proficient in CAD,https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/
HR Manager with focus on recruitment strategy,https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/
HR Manager with focus on recruitment strategy,https://www.shl.com/products/product-catalog/view/human-resources-new/
HR Manager with focus on recruitment strategy,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/
HR Manager with focus on recruitment strategy,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/
HR Manager with focus on recruitment strategy,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/
Senior Accountant with knowledge of international tax law,https://www.shl.com/products/product-catalog/view/financial-accounting-new/
Senior Accountant with knowledge of international tax law,https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/
Senior Accountant with knowledge of international tax law,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/
Senior Accountant with knowledge of international tax law,https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/
Senior Accountant with knowledge of international tax law,https://www.shl.com/products/product-catalog/view/business-communications/
